                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.6208,                0.86729,                 1.2109,                0.55274,                0.58407,                0.55316,                 0.2411,                 2.6748,                 1.5903,                 1.8567,             0.00028401,             0.00028401,             0.00028401
                     60,                 1.6227,                0.86817,                 1.2428,                0.54663,                 0.5805,                0.52858,                0.22379,                  2.677,                 1.5771,                 1.8529,             0.00027741,             0.00027741,             0.00027741
                     61,                 1.5838,                0.84074,                 1.1824,                0.55853,                0.57367,                0.51928,                0.22311,                 2.6888,                 1.5868,                 1.8573,              0.0002708,              0.0002708,              0.0002708
                     62,                 1.6589,                 0.8755,                 1.2259,                0.55549,                0.56635,                0.55387,                0.22729,                 2.7317,                 1.6351,                 1.8995,              0.0002642,              0.0002642,              0.0002642
                     63,                 1.5594,                0.83541,                 1.1726,                0.55322,                0.58557,                0.55044,                0.22933,                 2.7218,                 1.6627,                 1.9012,              0.0002576,              0.0002576,              0.0002576
                     64,                 1.5233,                0.79032,                 1.1551,                0.50486,                0.58384,                0.52415,                0.22743,                 2.7088,                 1.6864,                 1.8954,             0.00025099,             0.00025099,             0.00025099
                     65,                 1.6321,                0.90552,                 1.2036,                0.50082,                0.58919,                0.52972,                0.23386,                 2.7089,                 1.7004,                 1.8924,             0.00024439,             0.00024439,             0.00024439
                     66,                 1.5928,                 0.8411,                 1.2029,                0.53517,                0.52672,                0.53751,                0.23515,                  2.731,                 1.6714,                 1.9064,             0.00023779,             0.00023779,             0.00023779
                     67,                 1.4892,                0.77883,                 1.1949,                0.51141,                0.52806,                0.52189,                0.22126,                 2.7341,                 1.6345,                 1.9067,             0.00023118,             0.00023118,             0.00023118
                     68,                 1.5743,                0.83395,                 1.1578,                0.53287,                0.52878,                0.53118,                0.21688,                 2.7242,                  1.622,                 1.8904,             0.00022458,             0.00022458,             0.00022458
